# Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
# High resolution irradiance spectrum from 300 to 1000 nm.
# Thuillier et al (2004) calibration
# Kurucz.harvard.edu/sun/irradiance2005/irradthu.dat
#  
#  (tails left on to allow broadening)
#  
#      nm    W/m**2/nm
#     927476   2.45147  max   revised 02jan2010
  299.12039  0.33691
  299.12072  0.30751
  299.12105  0.28032
  299.12137  0.25603
  299.12170  0.23491
  299.12202  0.21655
  299.12235  0.20013
  299.12268  0.18550
  299.12300  0.17225
  299.12333  0.16024
  299.12366  0.14934
  299.12398  0.13899
  299.12431  0.12878
  299.12463  0.11843
  299.12496  0.10821
  299.12529  0.09882
  299.12561  0.09095
  299.12594  0.08530
  299.12626  0.08143
  299.12659  0.07909
  299.12692  0.07743
  299.12724  0.07715
  299.12757  0.07963
  299.12790  0.08696
  299.12822  0.10020
  299.12855  0.12008
  299.12887  0.14534
  299.12920  0.17501
  299.12953  0.20854
  299.12985  0.24622
  299.13018  0.28847
  299.13050  0.33415
  299.13083  0.38107
  299.13116  0.42566
  299.13148  0.46485
  299.13181  0.49757
  299.13214  0.52516
  299.13246  0.54987
  299.13279  0.57320
  299.13311  0.59501
  299.13344  0.61350
  299.13377  0.62702
  299.13409  0.63600
  299.13442  0.64262
  299.13474  0.65021
  299.13507  0.66125
  299.13540  0.67616
  299.13572  0.69328
  299.13605  0.71053
  299.13638  0.72667
  299.13670  0.74131
  299.13703  0.75470
  299.13735  0.76657
  299.13768  0.77595
  299.13801  0.78188
  299.13833  0.78395
  299.13866  0.78368
  299.13898  0.78285
  299.13931  0.78299
  299.13964  0.78423
  299.13996  0.78547
  299.14029  0.78520
  299.14062  0.78244
  299.14094  0.77747
  299.14127  0.77181
  299.14159  0.76670
  299.14192  0.76284
  299.14225  0.76035
  299.14257  0.75911
  299.14290  0.75842
  299.14322  0.75787
  299.14355  0.75677
  299.14388  0.75414
  299.14420  0.74931
  299.14453  0.74241
  299.14486  0.73469
  299.14518  0.72751
  299.14551  0.72212
  299.14583  0.71867
  299.14616  0.71660
  299.14649  0.71536
  299.14681  0.71536
  299.14714  0.71812
  299.14747  0.72516
  299.14779  0.73676
  299.14812  0.75194
  299.14844  0.76849
  299.14877  0.78410
  299.14910  0.79762
  299.14942  0.80880
  299.14975  0.81818
  299.15007  0.82625
  299.15040  0.83239
  299.15073  0.83639
  299.15105  0.83804
  299.15138  0.83819
  299.15171  0.83804
  299.15203  0.83832
  299.15236  0.83915
  299.15268  0.83970
  299.15301  0.83957
  299.15334  0.83845
  299.15366  0.83708
  299.15399  0.83653
  299.15432  0.83749
  299.15464  0.83983
  299.15497  0.84232
  299.15529  0.84425
  299.15562  0.84494
  299.15595  0.84494
  299.15627  0.84508
  299.15660  0.84660
  299.15693  0.84991
  299.15725  0.85461
  299.15758  0.85985
  299.15790  0.86468
  299.15823  0.86814
  299.15856  0.87048
  299.15888  0.87269
  299.15921  0.87573
  299.15953  0.88056
  299.15986  0.88664
  299.16019  0.89285
  299.16051  0.89795
  299.16084  0.90086
  299.16117  0.90196
